"scientificNameID","scientificName","absence","dropped","genusid","aphiaID","decimalLatitude","subclassid","originalScientificName","marine","minimumDepthInMeters","phylumid","familyid","catalogNumber","basisOfRecord","terrestrial","institutionCode","maximumDepthInMeters","id","class","order","orderid","dataset_id","decimalLongitude","collectionCode","speciesid","kingdom","classid","phylum","genus","species","subclass","family","category","kingdomid","node_id","country","taxonRank","fieldNumber","occurrenceStatus","modified","footprintWKT","geodeticDatum","occurrenceID","specificEpithet","brackish","date_year","date_end","date_start","eventDate","date_mid","year","day","month","bibliographicCitation","organismQuantity","locality","organismQuantityType","coordinatePrecision","scientificNameAuthorship","individualCount","recordedBy","language","datasetName","waterBody","occurrenceRemarks","stateProvince","typeStatus","startDayOfYear","continent","coordinateUncertaintyInMeters","datasetID","dynamicProperties","associatedReferences","preparations","identifiedBy","lifeStage","references","license","footprintSRS","eventRemarks","dateIdentified","collectionID","county","infraspecificEpithet","recordNumber","higherGeography","georeferenceSources","eventID","habitat","associatedMedia","associatedSequences","endDayOfYear","samplingProtocol","verbatimDepth","vernacularName","nomenclaturalStatus","locationID","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","eventTime","type","sampleSizeUnit","ownerInstitutionCode","parentEventID","samplingEffort","taxonomicStatus","sampleSizeValue","institutionID","island","islandGroup","countryCode","verbatimCoordinates","georeferencedBy","identificationReferences","georeferenceProtocol","rightsHolder","verbatimEventDate","verbatimLocality","verbatimLatitude","acceptedNameUsageID","verbatimLongitude","disposition","originalNameUsage","accessRights","sex","taxonConceptID","higherGeographyID","locationRemarks","identificationRemarks","locationAccordingTo","depth"
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-21,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,"G35883","PreservedSpecimen",FALSE,"QM",NA,"003c174d-d0bd-446b-be67-b5201ac85464","Anthozoa","Scleractinia",1363,"6078be2d-e1af-47b3-bd70-3956dd95f664",155.83333,"co200",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4",NA,"species","Cnidaria","present","2017-02-27T10:44:56","POINT (155.83333 -21.00000)","EPSG:4326","urn:lsid:ozcam.taxonomy.org.au:QM.Corals:G35883","hyacinthus",NA,1990,661564800000,661564800000,"1990-12-19",661564800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.6842,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"HumanObservation",FALSE,"AM",NA,"007341e9-3ee6-416f-ade5-d3759a287b89","Anthozoa","Scleractinia",1363,"0e4e4700-5e70-48b1-b100-d6b05888dfa9",145.442,"LIRS",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species",NA,"present","2019-01-02T15:57:20","POINT (145.44221 -14.68420)",NA,"e77be529-0ebe-4ff1-b2b1-bba5bf17193a",NA,NA,2004,1100476800000,1100476800000,"2004-11-15 00:11:00",1100476800000,NA,NA,NA,NA,"1",NA,"individuals","100",NA,NA,NA,NA,NA,NA,NA,"Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-18.78333,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,"G27610","PreservedSpecimen",FALSE,"QM",NA,"00dedec6-6067-477a-a514-472e0ffdf798","Anthozoa","Scleractinia",1363,"6078be2d-e1af-47b3-bd70-3956dd95f664",146.7,"co200",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species","Cnidaria","present","2017-02-27T11:18:23","POINT (146.70000 -18.78333)","EPSG:4326","urn:lsid:ozcam.taxonomy.org.au:QM.Corals:G27610","hyacinthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.6999998093,1340,"Acropora acropora hyacinthus",TRUE,NA,1267,196095,"G43542","HumanObservation",FALSE,"HEX",NA,"01086205-9a89-4432-a588-eab69475a860","Anthozoa","Scleractinia",1363,"c380d2c9-98b3-48cf-af6c-56a88b81f1a4",145.449996948,"HEX",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"8385435b-bcf5-4bec-b827-8b480163d479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-15.72333,1340,"Acropora hyacinthus",TRUE,2,1267,196095,"111_26","HumanObservation",FALSE,"AIMS",2,"0124e3e4-384a-4f9a-bd0b-27ef68d33127","Anthozoa","Scleractinia",1363,"eee81b0b-6b72-4963-9f43-ff1631bbfea3",145.36583,"aims_cre",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species",NA,"present","2017-05-16T15:08:31","POINT (145.36583 -15.72333)","EPSG:4326","111_26",NA,NA,1995,800582400000,800582400000,"1995-05-16T02:00Z",800582400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.67000008,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"HumanObservation",FALSE,"NIWA",NA,"0125213b-da74-422a-924c-ef7a45a3958f","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",145.4700012,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"2497967",NA,"2016-01-20","POINT (145.4700 -14.6700)","WGS84","89804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Hexacorallians of the World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-23.2074,1340,"Acropora hyacinthus",TRUE,2,1267,196095,"HV123_Acropora_hyacinthus","HumanObservation",FALSE,"AIMS",2,"0137a7ab-c5e7-4adc-a37f-9a7d23605471","Anthozoa","Scleractinia",1363,"e408c07b-408e-43f5-93e2-3957dd80b43b",150.97464,"aims_ltm_ns",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species",NA,"present","2017-05-17T09:03:24","POINT (150.97464 -23.20740)","EPSG:4326","HV123_Acropora_hyacinthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-20.24016,1340,"Acropora hyacinthus",TRUE,8,1267,196095,"299_26","HumanObservation",FALSE,"AIMS",8,"01533002-c5ea-46d3-8aa1-1876f3cf2227","Anthozoa","Scleractinia",1363,"eee81b0b-6b72-4963-9f43-ff1631bbfea3",149.019,"aims_cre",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species",NA,"present","2017-05-16T15:06:34","POINT (149.01900 -20.24016)","EPSG:4326","299_26",NA,NA,1995,796867200000,796867200000,"1995-04-03T02:00Z",796867200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.732,1340,"Acropora (Acropora) hyacinthus (Dana, 1846)",TRUE,NA,1267,196095,"bda1c2b9-5a98-4171-9f9c-6cbd557f9e14","Occurrence",FALSE,"AIMS",NA,"01bcc1da-f1cb-4186-bdaf-f9c446fd1f42","Anthozoa","Scleractinia",1363,"217bc2a9-4d9a-4064-bab4-457121c68145",145.194,"Scleractinia of Eastern Australia - AIMS Monograph",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"4bf79a01-65a9-4db6-b37b-18434f26ddfc",NA,NA,NA,"present","2012-11-08 15:42:23",NA,"EPSG:4326","urn:catalog:AIMS:Scleractinia of Eastern Australia - AIMS Monograph:bda1c2b9-5a98-4171-9f9c-6cbd557f9e14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turtle Islands. W point of a southern island",NA,NA,NA,NA,"J. Veron",NA,NA,NA,NA,NA,NA,NA,"Australian waters","1500.0","IMIS:dasid:3119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.86666,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,"G43500","PreservedSpecimen",FALSE,"QM",NA,"01cc9cc5-5021-4e9c-a5bd-86e010a12035","Anthozoa","Scleractinia",1363,"6078be2d-e1af-47b3-bd70-3956dd95f664",145.48333,"co200",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species","Cnidaria","present","2017-02-27T10:50:16","POINT (145.48333 -14.86666)","EPSG:4326","urn:lsid:ozcam.taxonomy.org.au:QM.Corals:G43500","hyacinthus",NA,1992,722217600000,722217600000,"1992-11-20",722217600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.64999962,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"HumanObservation",FALSE,"NIWA",NA,"01cff0df-0beb-4041-a5e8-c17315ae38f1","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",145.4499969,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"2495679",NA,"2016-01-20","POINT (145.4500 -14.6500)","WGS84","88808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Hexacorallians of the World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-17.22533417,1340,"Acropora hyacinthus",TRUE,7,1267,196095,NA,"HumanObservation",FALSE,"NIWA",7,"01d261be-0983-490b-85e3-1735661f0d15","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",146.0948334,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"9507826",NA,"2016-01-20","POINT (146.0948 -17.2253)","WGS84","100749",NA,NA,NA,NA,NA,NA,NA,"1996","28","5",NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Australian Institute of Marine Science - Great Barrier Reef nearshore coral diversity.",NA,NA,"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.69999981,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"HumanObservation",FALSE,"NIWA",NA,"01d87e40-3396-4452-a8c9-51803f8d6858","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",145.4499969,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"2495690",NA,"2016-01-20","POINT (145.4500 -14.7000)","WGS84","88819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Hexacorallians of the World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-17.67416573,1340,"Acropora hyacinthus",TRUE,3,1267,196095,NA,"HumanObservation",FALSE,"NIWA",3,"01e54898-7ab2-4fab-af14-a7be1adb5ec9","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",146.1666718,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"9509016",NA,"2016-01-20","POINT (146.1667 -17.6742)","WGS84","101824",NA,NA,NA,NA,NA,NA,NA,"1996","30","5",NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Australian Institute of Marine Science - Great Barrier Reef nearshore coral diversity.",NA,NA,"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.635,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"HumanObservation",FALSE,"AM",NA,"02147fd4-b7a0-4223-8de6-3aa0e2ac5fd5","Anthozoa","Scleractinia",1363,"0e4e4700-5e70-48b1-b100-d6b05888dfa9",145.636,"LIRS",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4",NA,"species",NA,"present","2019-01-02T15:39:22","POINT (145.63580 -14.63500)",NA,"6bd5e482-fd8b-4fc5-a93e-3d9aa3f58347",NA,NA,2003,1042588800000,1042588800000,"2003-01-15 00:01:00",1042588800000,NA,NA,NA,NA,"1",NA,"individuals","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-16.17633247,1340,"Acropora hyacinthus",TRUE,2,1267,196095,NA,"HumanObservation",FALSE,"NIWA",2,"025a6a88-e875-42f8-b218-8e4095225f4a","Anthozoa","Scleractinia",1363,"6c813a6c-86f7-4d45-beb5-33eebd8de938",145.6868286,"SPRFMO VME",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"6c17c09e-5cc2-4d5a-8463-e866731d35a1",NA,NA,"19308301",NA,"2016-01-20","POINT (145.6868 -16.1763)","WGS84","94922",NA,NA,NA,NA,NA,NA,NA,"1995","20","8",NA,NA,NA,NA,NA,"(Dana, 1846)",NA,NA,"en","South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset","Pacific Ocean","VME Group = Scleractinia; Source = OBIS Australian Institute of Marine Science - Great Barrier Reef nearshore coral diversity.",NA,NA,"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-18.6800003052,1340,"Acropora acropora hyacinthus",TRUE,NA,1267,196095,"G32747","HumanObservation",FALSE,"HEX",NA,"026a577c-c496-4a90-ac98-0cf196532389","Anthozoa","Scleractinia",1363,"c380d2c9-98b3-48cf-af6c-56a88b81f1a4",146.520004272,"HEX",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"8385435b-bcf5-4bec-b827-8b480163d479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-18.56666,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,"G27096","PreservedSpecimen",FALSE,"QM",NA,"0279cb91-4916-4457-a1ce-9abb9f79d3d0","Anthozoa","Scleractinia",1363,"6078be2d-e1af-47b3-bd70-3956dd95f664",146.5,"co200",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species","Cnidaria","present","2017-02-27T11:27:35","POINT (146.50000 -18.56666)","EPSG:4326","urn:lsid:ozcam.taxonomy.org.au:QM.Corals:G27096","hyacinthus",NA,1988,582422400000,582422400000,"1988-06-16",582422400000,NA,NA,NA,NA,"1",NA,"individuals",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-19.1299991608,1340,"Acropora acropora hyacinthus",TRUE,NA,1267,196095,"G37371","HumanObservation",FALSE,"HEX",NA,"02900402-d9f3-4490-9caa-29bfcf1e05f5","Anthozoa","Scleractinia",1363,"c380d2c9-98b3-48cf-af6c-56a88b81f1a4",146.830001831,"HEX",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"8385435b-bcf5-4bec-b827-8b480163d479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"urn:lsid:marinespecies.org:taxname:207044","Acropora hyacinthus",FALSE,FALSE,205469,207044,-14.6462,1340,"Acropora hyacinthus",TRUE,NA,1267,196095,NA,"PreservedSpecimen",FALSE,"AM",NA,"02acbca2-fbd8-40c3-9aea-009d185b73bc","Anthozoa","Scleractinia",1363,"0e4e4700-5e70-48b1-b100-d6b05888dfa9",145.45599,"LIRS",207044,"Animalia",1292,"Cnidaria","Acropora","Acropora hyacinthus","Hexacorallia","Acroporidae","NT",2,"2a57cd59-6799-4579-955e-27c9af97aea4","Australia","species",NA,"present","2019-01-02T15:47:09","POINT (145.45639 -14.64625)",NA,"9fb2cf20-9083-4f86-b176-e79d9d11f478",NA,NA,2012,1.331856e+12,1.331856e+12,"2012-03-16 00:03:00",1.331856e+12,NA,NA,NA,NA,"1",NA,"individuals","100",NA,NA,NA,NA,NA,NA,NA,"Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
